文献番号,出願番号,出願日,公知日,発明の名称,出願人/権利者,FI,公開番号,公告番号,登録番号,審判番号,その他,ステージ,イベント詳細,文献URL
特開2023-026247,特願2021-132071,2021/08/13,2023/02/24,情報処理装置、情報処理方法、及びプログラム,トヨタ自動車株式会社,"G08G1/00@D,G08G1/09@F,H04N7/18@D",特開2023-026247,,特許7512972,,,特許 有効,登録公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-026247/11/ja
特開2023-026002,特願2021-131550,2021/08/12,2023/02/24,住宅,ミサワホーム株式会社,E04H1/02,特開2023-026002,,特許7258969,,,特許 有効,登録公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-026002/11/ja
特表2024-528162,特願2024-506274,2021/08/19,2023/02/23,環境マッチングに基づく車両測位方法、装置、車両、及び記憶媒体,"寧波吉利汽車研究開発有限公司,浙江吉利控股集団有限公司","G01C21/28,G09B29/00@Z,G01C21/30",特表2024-528162,,特許7685112,,,特許 有効,登録公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-528162/11/ja
特表2024-534789,特願2024-509354,2022/08/18,2023/02/23,運転事象を予測するための機械学習モデル,テスラ，インコーポレイテッド,"G08G1/16@A,G16Y10/40,G16Y20/20,G16Y40/20",特表2024-534789,,,,,審査中,審査請求,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-534789/11/ja
特表2024-534059,特願2024-509355,2022/08/19,2023/02/23,視覚に基づくシステムのための検出されたオブジェクト経路予測,テスラ，インコーポレイテッド,"G08G1/16@C,G01C21/34",特表2024-534059,,,,,審査中,審査請求,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-534059/11/ja
特許7227673,特願2022-198345,2022/12/13,2023/02/22,除雪装置自動着脱式自動運転車,廣田　祐次,E01H5/04@B,特開2024-084204,,特許7227673,,,特許 有効,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7227673/15/ja
特開2023-025703,特願2022-180658,2022/11/11,2023/02/22,評価システム,パラマウントベッド株式会社,"A61B5/00,102@C,G16H50/30",特開2023-025703,,特許7445728,,,特許 有効,登録公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-025703/11/ja
特開2023-024971,特願2022-163152,2022/10/11,2023/02/21,自動運転支援装置、制御方法、プログラム及び記憶媒体,"ジオテクノロジーズ株式会社,パイオニア株式会社","G08G1/0969,G01C21/26@C,G01C21/34,B60W40/02,B60W60/00",特開2023-024971,,,,,（出願の）却下・拒絶,出願の拒絶・却下,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-024971/11/ja
特開2023-024956,特願2022-125319,2022/08/05,2023/02/21,自動運転車両に用いられるシミュレーション方法及び自動運転車両を制御する方法,北京図森智途科技有限公司,"G08G1/16@A,G08G1/00@A,G08G1/09@V",特開2023-024956,,,,,審査請求前,代理人の変更,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-024956/11/ja
特表2024-527491,特願2023-577492,2022/02/21,2023/02/16,自動運転および／または支援運転のための駆動装置、車両、および方法,日立Ａｓｔｅｍｏ株式会社,"B60W40/02,B60W60/00,G01C21/30",特表2024-527491,,特許7699241,,,特許 有効,登録公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-527491/11/ja
特表2024-526082,特願2023-576216,2022/02/21,2023/02/16,自動運転および／または支援運転のための駆動装置、車両、および方法,日立Ａｓｔｅｍｏ株式会社,"G08G1/16@C,B60W40/10,B60W40/02,B60W30/02,B60W60/00,B60W10/04,B60W10/184,B60W10/20",特表2024-526082,,特許7594691,,,特許 有効,登録公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-526082/11/ja
特開2023-024809,特願2022-210139,2022/12/27,2023/02/16,車両管制システム,ＩＨＩ運搬機械株式会社,G08G1/14@A,特開2023-024809,,特許7366229,,,特許 有効,登録公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-024809/11/ja
特開2023-023577,特願2021-129222,2021/08/05,2023/02/16,車両用制御装置及び車両用制御方法,株式会社デンソー,"B60W40/04,B60W30/182,B60W60/00,G08G1/16@C",特開2023-023577,,特許7677051,,,特許 有効,登録公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-023577/11/ja
特開2023-023029,特願2021-128179,2021/08/04,2023/02/16,乗員監視システム,豊田合成株式会社,"G08G1/127@A,G08G1/123@A",特開2023-023029,,特許7548155,,,特許 有効,登録公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-023029/11/ja
特開2023-022195,特願2022-189874,2022/11/29,2023/02/14,ＬＩＤＡＲシステム及び方法,イノヴィズ　テクノロジーズ　リミテッド,"G01S7/484,G01S17/931,G01C3/06,120@Q",特開2023-022195,,,,,（出願の）却下・拒絶,出願の拒絶・却下,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-022195/11/ja
