文献番号,出願番号,出願日,公知日,発明の名称,出願人/権利者,FI,公開番号,公告番号,登録番号,審判番号,その他,ステージ,イベント詳細,文献URL
特開2024-092538,特願2022-208553,2022/12/26,2024/07/08,作業車両の遠隔制御システム,井関農機株式会社,"A01B69/00@B,A01B69/00,303@M,G05D1/00@B,G05D1/02@N,G05D1/221,G05D1/222,G05D1/223,G05D1/224,G05D1/225,G05D1/229,G05D1/24,G05D1/242,G05D1/43,G05D1/60,G05D1/648,G05D105:00,G05D105:15,G05D107:00,G05D107:10,G05D107:20,G05D109:00,G05D109:10,G05D111:00,G05D111:30,G05D111:63",特開2024-092538,,,,,審査中,審査請求,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-092538/11/ja
特開2024-092450,特願2022-208376,2022/12/26,2024/07/08,運転支援装置,ダイハツ工業株式会社,"B60W30/09,B60W30/02,B60W40/04,G08G1/16@C",特開2024-092450,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-092450/11/ja
特開2024-092342,特願2022-208204,2022/12/26,2024/07/08,管理装置、管理方法、コンピュータプログラム、及び管理システム,株式会社クボタ,"A01B69/00,303@Z,G05D1/02@N,G06Q50/02,G05D1/24,G05D1/242,G05D1/245,G05D1/43,G05D1/60,G05D1/644,G05D1/648,G05D105:00,G05D105:15,G05D107:00,G05D107:20,G05D109:00,G05D109:10,G05D111:00,G05D111:50,G05D111:63",特開2024-092342,,,,,審査中,拒絶理由通知,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-092342/11/ja
特開2024-091689,特願2024-062158,2024/04/08,2024/07/05,地図情報提供システム、地図情報提供方法、及び地図情報提供プログラム,パイオニア株式会社,"G01C21/26@A,G09B29/00@A",特開2024-091689,,,,,審査中,拒絶査定,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-091689/11/ja
特開2024-091679,特願2024-061576,2024/04/05,2024/07/05,運転支援装置、及び運転支援方法,パナソニックオートモーティブシステムズ株式会社,"B60W30/06,B60W60/00",特開2024-091679,,,,,審査中,拒絶査定,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-091679/11/ja
特開2024-091663,特願2024-060016,2024/04/03,2024/07/05,運動マネージャおよびシステム,トヨタ自動車株式会社,"B60W50/00,B60W60/00,G08G1/16@C,B60W50/06,B60W30/182",特開2024-091663,,,,,審査中,特許査定,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-091663/11/ja
特許7510656,特願2024-059829,2024/04/02,2024/07/04,スキャン式車載用撮像装置,土橋　義英,"B60R11/02@Z,H04N23/50,H01L27/146@D,H04N23/55,H10F39/12@D",,,特許7510656,,,特許 有効,登録公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7510656/15/ja
特開2024-090918,特願2022-207105,2022/12/23,2024/07/04,作業車両,井関農機株式会社,"A01B69/00,303@V,A01B69/00,301,A01B69/00,303@M,G05D1/02@W,G05D1/02@N,G05D1/222,G05D1/223,G05D1/224,G05D1/225,G05D1/228,G05D1/229,G05D1/24,G05D1/245,G05D1/248,G05D1/43,G05D1/60,G05D1/622,G05D1/644,G05D1/648,G05D105:00,G05D105:15,G05D107:00,G05D107:20,G05D109:00,G05D109:10,G05D111:00,G05D111:30,G05D111:50",特開2024-090918,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-090918/11/ja
特開2024-090280,特願2022-206066,2022/12/22,2024/07/04,車両,トヨタ自動車株式会社,"B60W30/00,B60W60/00,B60W40/02,B60S1/66,G01W1/08@P",特開2024-090280,,,,,審査中,審査請求,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-090280/11/ja
特開2024-089401,特願2022-204745,2022/12/21,2024/07/03,車両の制御装置,トヨタ自動車株式会社,"B60W30/16,B60W60/00,B60W40/09,G08G1/16@E,G08G1/00@D",特開2024-089401,,特許7708086,,,特許 有効,登録公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-089401/11/ja
特開2024-089361,特願2022-204678,2022/12/21,2024/07/03,タイヤ,住友ゴム工業株式会社,"B60C11/00@D,B60C3/04@B,B60C1/00@A,B60C11/03@Z,B60C11/03@D,B60C11/03,100@B,C08L21/00,C08K3/013,C08K5/548,C08K3/36,C08L7/00,C08L9/00,C08L91/00",特開2024-089361,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-089361/11/ja
特開2024-088832,特願2022-203825,2022/12/21,2024/07/03,表示装置、車両および表示制御方法,キヤノン株式会社,"G08G1/16@C,B60K35/00@Z,B60K35/00@A,B60K35/22,B60K35/23,B60K35/40,B60K35/233,B60K35/215",特開2024-088832,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-088832/11/ja
特開2024-088508,特願2022-203726,2022/12/20,2024/07/02,薬剤払出し装置及び薬剤量確認方法,株式会社湯山製作所,"A61J3/00,310@F",特開2024-088508,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-088508/11/ja
特開2024-088284,特願2022-203374,2022/12/20,2024/07/02,自動運転機器制御システム,株式会社ダイフク,"B65G1/00,511@B",特開2024-088284,,,,,審査中,特許査定,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-088284/11/ja
特開2024-088040,特願2022-202993,2022/12/20,2024/07/02,車両用時刻補正装置,"株式会社ＳＯＫＥＮ,株式会社デンソー","G04G5/00@J,G04R20/02,G08G1/09@F",特開2024-088040,,,,,審査中,審査請求,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-088040/11/ja
特開2024-087473,特願2022-202313,2022/12/19,2024/07/01,運転支援装置,トヨタ自動車株式会社,"B60W50/14,B60W40/08,G08G1/16@F",特開2024-087473,,,,,審査中,審査請求,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-087473/11/ja
特開2024-086860,特願2024-063618,2024/04/10,2024/06/28,ロボット制御システム,ファナック株式会社,B25J9/22@A,特開2024-086860,,,,,審査中,拒絶理由通知,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-086860/11/ja
特開2024-086576,特願2023-178396,2023/10/16,2024/06/27,制御装置、自動運転装置及び走行制御装置,株式会社デンソー,"G08G1/16@C,B60W40/04,B60W60/00,B60W50/08",特開2024-086576,,,,,審査中,審査請求,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-086576/11/ja
特開2024-085978,特願2022-200813,2022/12/16,2024/06/27,地図評価装置,本田技研工業株式会社,"G08G1/01@A,G08G1/16@C",特開2024-085978,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-085978/11/ja
特開2024-085236,特願2022-199655,2022/12/14,2024/06/26,車両の制御装置,トヨタ自動車株式会社,"B60W30/16,B60W60/00,G08G1/16@E",特開2024-085236,,,,,特許 有効,特許権の設定,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-085236/11/ja
特開2024-085195,特願2022-199588,2022/12/14,2024/06/26,車両の制御装置,トヨタ自動車株式会社,"B60W30/16,B60W60/00,G08G1/16@E",特開2024-085195,,,,,審査中,手続補正,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-085195/11/ja
特開2024-085149,特願2022-199524,2022/12/14,2024/06/26,車両制御装置および車両制御方法,トヨタ自動車株式会社,"B60W50/14,B60W60/00",特開2024-085149,,,,,審査中,審査請求,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-085149/11/ja
特開2024-084890,特願2022-199059,2022/12/14,2024/06/26,自動運転車両の走行支援装置,ダイムラー　トラック　エージー,"B60Q1/50@Z,B60W30/10,B60W60/00",特開2024-084890,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-084890/11/ja
特開2024-084185,特願2022-198318,2022/12/13,2024/06/25,自動運転車両の制御システム,ダイムラー　トラック　エージー,"B60W30/10,B60W40/06,B65F3/00@A,B60P3/00@Q",特開2024-084185,,,,,審査中,手続補正,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-084185/11/ja
特開2024-083963,特願2022-198086,2022/12/12,2024/06/24,乗用型屋外清掃機の自動化装置,"トーヨーメタル株式会社,国立大学法人豊橋技術科学大学","B60W30/10,G05D1/02@W,B60W30/09,B60W40/02,B60L15/20@J,G08G1/00@X,G08G1/16@C,G05D1/224,G05D1/225,G05D1/228,G05D1/229,G05D1/24,G05D1/242,G05D1/245,G05D1/248,G05D1/43,G05D1/60,G05D1/622,G05D1/639,G05D1/644,G05D1/648,G05D105:00,G05D105:10,G05D107:00,G05D107:10,G05D107:20,G05D109:00,G05D109:10,G05D111:00,G05D111:50,G05D111:63",特開2024-083963,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-083963/11/ja
特開2024-083890,特願2022-197968,2022/12/12,2024/06/24,給湯機,三菱電機株式会社,"A47K3/00@Q,F24H15/196,301@L,B08B3/02@E",特開2024-083890,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-083890/11/ja
特開2024-082998,特願2022-197269,2022/12/09,2024/06/20,車両制御装置、車両制御方法,株式会社デンソー,G08G1/16@D,特開2024-082998,,,,,審査中,審査請求,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-082998/11/ja
特開2024-082997,特願2022-197268,2022/12/09,2024/06/20,通知制御装置、通知制御方法,株式会社デンソー,"G08G1/16@F,G08G1/16@E,B60W60/00,B60W50/14",特開2024-082997,,,,,審査中,審査請求,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-082997/11/ja
特開2024-082860,特願2022-197025,2022/12/09,2024/06/20,車両用シート装置,"テイ・エス　テック株式会社,株式会社今仙電機製作所","B60N2/10,B60N2/02,B60N2/06,B60N2/16,B60N2/22,B60N3/06,A47C7/50@A",特開2024-082860,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-082860/11/ja
特開2024-082792,特願2022-196896,2022/12/09,2024/06/20,自動運転制御装置,トヨタ自動車株式会社,"B60W50/00,B60W40/10,G08G1/16@C",特開2024-082792,,,,,審査中,審査請求,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-082792/11/ja
特開2024-082330,特願2022-196107,2022/12/08,2024/06/20,走行経路決定装置及び自動運転システム,三菱電機株式会社,"G08G1/16@A,B60W40/04,B60W30/09",特開2024-082330,,,,,審査中,審査請求,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-082330/11/ja
特開2024-081681,特願2024-041206,2024/03/15,2024/06/18,自動運転装置、車両制御方法,"株式会社ＳＯＫＥＮ,株式会社デンソー","G08G1/16@C,G08G1/00@A,G01C21/30,B60W50/035,B60W50/14,G09B29/00@Z,B60W60/00",特開2024-081681,,特許7668400,,,特許 有効,登録公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-081681/11/ja
特開2024-081027,特願2022-194441,2022/12/05,2024/06/17,車両用表示制御装置、車両用表示制御システム及び車両用表示制御方法,トヨタ自動車株式会社,"B60K35/00@Z,B60K35/00@A,B60W50/14,B60K35/22,B60K35/235,B60K35/233",特開2024-081027,,,,,審査中,審査請求,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-081027/11/ja
特開2024-080826,特願2022-194092,2022/12/05,2024/06/17,自動運転システム,トヨタ自動車株式会社,"B60W40/12,B60W60/00,B60W50/14,G08G1/0968",特開2024-080826,,,,,審査中,手続補正,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-080826/11/ja
特開2024-080804,特願2022-194041,2022/12/05,2024/06/17,運行管理システム,"トヨタ自動車株式会社,株式会社小松製作所","G08G1/09@Q,G08G1/00@X,G08G1/16@A",特開2024-080804,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-080804/11/ja
特開2024-080434,特願2022-193620,2022/12/02,2024/06/13,ステアリング装置及び安全運転支援システム,本田技研工業株式会社,"B62D6/00,B62D1/06,B60W50/14,B60W40/09,B60W50/12,G01B7/00,101@C,B62D119:00",特開2024-080434,,特許7605806,,,特許 有効,登録公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-080434/11/ja
特開2024-080422,特願2022-193598,2022/12/02,2024/06/13,管理装置、管理方法、及びプログラム,トヨタ自動車株式会社,G08G1/16@D,特開2024-080422,,,,,審査中,審査請求,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-080422/11/ja
特開2024-080126,特願2022-193044,2022/12/01,2024/06/13,予防安全装置及び車両,トヨタ自動車株式会社,"G08G1/16@C,B60W30/12,B60W60/00,B60W30/09",特開2024-080126,,特許7694546,,,特許 有効,登録公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-080126/11/ja
特開2024-080107,特願2022-193011,2022/12/01,2024/06/13,アクセルペダル装置,"株式会社ＳＯＫＥＮ,株式会社デンソー","B60W50/12,B60W30/14,F02D11/10@Q,B60K26/02",特開2024-080107,,,,,審査中,審査請求,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-080107/11/ja
特開2024-079949,特願2022-192671,2022/12/01,2024/06/13,地図データベース管理装置、地図データベース管理システム、地図データベースの管理方法及びプログラム,"株式会社東芝,東芝インフラシステムズ株式会社","G09B29/00@Z,B61L25/04",特開2024-079949,,,,,審査中,出願人の変更,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-079949/11/ja
特許7497919,特願2023-100135,2023/06/19,2024/06/11,自動運転車,山内　和博,"G08G1/0965,B60W50/00",特開2025-000334,,特許7497919,,,特許 有効,年金の支払い,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7497919/15/ja
特開2024-079727,特願2024-041207,2024/03/15,2024/06/11,自動運転装置、車両制御方法,"株式会社ＳＯＫＥＮ,株式会社デンソー","G08G1/16@C,G08G1/00@A,G01C21/30,B60W50/035,B60W50/14,G09B29/00@Z",特開2024-079727,,,拒絶2025-011727,,査定不服,手続補正,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-079727/11/ja
特開2024-078687,特願2022-191177,2022/11/30,2024/06/11,車両用通知装置,トヨタ自動車株式会社,"G08G1/16@F,G08G1/00@D,B60W50/08",特開2024-078687,,特許7704132,,,特許 有効,登録公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-078687/11/ja
特開2024-078414,特願2023-186784,2023/10/31,2024/06/10,多機能機器を動作させる自動制御システム及び方法、並びにその多機能機器,コンチネンタル・オートナマス・モビリティ・ジャーマニー・ゲゼルシャフト・ミト・ベシュレンクテル・ハフツング,"A01B69/00,303@M,A01B69/00,303@Z",特開2024-078414,,,,,審査中,拒絶査定,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-078414/11/ja
特開2024-078281,特願2022-190726,2022/11/29,2024/06/10,ＯＤＤ自動設計システム,株式会社日立製作所,"G08G1/16@C,B60W60/00",特開2024-078281,,,,,審査中,審査請求,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-078281/11/ja
特開2024-077917,特願2022-190157,2022/11/29,2024/06/10,ニューマチックアンローダ,ＩＨＩ運搬機械株式会社,"B65G53/66@B,B65G53/24,B65G67/60@B",特開2024-077917,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-077917/11/ja
特開2024-077382,特願2022-189447,2022/11/28,2024/06/07,満充電容量測定装置,トヨタ自動車株式会社,"G01R31/387,H02J7/00@P,H02J7/00@B,H02J7/00@Q,G01R31/382,G01R31/385,H01M10/48@P,H01M10/48,301,H01M10/44@Q",特開2024-077382,,特許7694542,,,特許 有効,登録公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-077382/11/ja
特開2024-077372,特願2022-189434,2022/11/28,2024/06/07,制御装置、リソース管理方法、リソース管理プログラム,株式会社デンソー,"G06F9/50,120@A,G06F9/455,150",特開2024-077372,,,,,審査中,審査請求,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-077372/11/ja
特開2024-077179,特願2022-189078,2022/11/28,2024/06/07,自律走行車,株式会社豊田自動織機,"B60L1/00@L,G08G1/16@C,G01C21/28,G05D1/02@H,G05D1/02@K,G05D1/24,G05D1/242,G05D1/243,G05D1/245,G05D1/246,G05D1/43,G05D1/60,G05D105:00,G05D105:20,G05D109:00,G05D111:00,G05D111:63",特開2024-077179,,,,,審査中,審査請求,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-077179/11/ja
特開2024-076452,特願2022-187966,2022/11/25,2024/06/06,移動体運行管制装置,トヨタ自動車株式会社,"G08G1/16@D,G08G1/09@F",特開2024-076452,,,,,審査中,審査請求,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-076452/11/ja
特開2024-076365,特願2023-196221,2023/11/17,2024/06/05,車両給電制御システム及びその方法、装置及び記憶媒体,北京図森智途科技有限公司,"H02J1/00,308@K,H02J1/00,310@A,B60L1/00@L,B60R16/02,645@D",特開2024-076365,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-076365/11/ja
特開2024-076268,特願2022-187768,2022/11/24,2024/06/05,車両の制御装置,トヨタ自動車株式会社,"F16H61/12,F16H59/08,F16H61/68,F16H59/50,F16H61/28",特開2024-076268,,,,,審査中,審査請求,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-076268/11/ja
特開2024-076230,特願2022-187705,2022/11/24,2024/06/05,車両制御システム,トヨタ自動車株式会社,"B60W50/035,B60W60/00,G01C21/36,G08G1/16@C,G08G1/0968",特開2024-076230,,,,,特許 有効,特許権の設定,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-076230/11/ja
特開2024-076226,特願2022-187699,2022/11/24,2024/06/05,車両制御方法及び車両制御システム,トヨタ自動車株式会社,"G08G1/16@F,B60W60/00,B60W40/08,B60W50/14",特開2024-076226,,特許7658358,,,特許 有効,登録公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-076226/11/ja
特開2024-075621,特願2024-036281,2024/03/08,2024/06/04,車両用表示制御装置、車両用表示制御システム、及び車両用表示制御方法,株式会社デンソー,"B60K35/22,B60K35/40,B60W60/00,B60W40/02,B60K35/28,B60W50/08,B60K35/23,B60K35/235",特開2024-075621,,,,,審査中,特許査定,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-075621/11/ja
特許7493844,特願2023-030872,2023/03/01,2024/06/03,蒸気加熱式温冷庫およびその運転方法,株式会社井上製作所,"A47J27/16@D,A47J27/14@B",特開2024-123448,,特許7493844,,,特許 有効,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7493844/15/ja
特開2024-074240,特願2023-127679,2023/08/04,2024/05/30,ステアリング装置,豊田合成株式会社,"B62D1/10,B60R16/027@T",特開2024-074240,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-074240/11/ja
特開2024-073530,特願2024-038066,2024/03/12,2024/05/29,自動運転装置、自動運転方法及びプログラム,"株式会社ＳＯＫＥＮ,株式会社デンソー","G08G1/09@F,G08G1/16@A,B60W30/10,B60W30/095,B60W50/02,B60W50/04,B60W40/06,B60W60/00,B60W40/04,G08G1/00@D",特開2024-073530,,特許7668399,,,特許 有効,登録公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-073530/11/ja
特開2024-072578,特願2022-183487,2022/11/16,2024/05/28,搬送容器受渡し受取り装置,"株式会社デザインネットワーク,国立研究開発法人産業技術総合研究所",H01L21/68@A,特開2024-072578,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-072578/11/ja
特許7490268,特願2023-027051,2023/02/24,2024/05/27,蒸気加熱式温冷配膳車およびその運転方法,株式会社井上製作所,"A47B31/00@H,A47B31/02@B,A47B31/02@D,A47J39/02,F25D23/12@M,F25D11/00,101@Y,F25D11/00,101@B",特開2024-120327,,特許7490268,全部異議2024-701142,,異議・無効,異議の申立て,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7490268/15/ja
特開2024-072097,特願2022-182745,2022/11/15,2024/05/27,制御装置、制御方法,トヨタ自動車株式会社,"G08G1/16@C,B60W60/00,B60W30/08",特開2024-072097,,,,,審査中,審査請求,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-072097/11/ja
特開2024-071937,特願2022-182460,2022/11/15,2024/05/27,車両制御装置,トヨタ自動車株式会社,"B60W30/10,B60W60/00",特開2024-071937,,,,,審査中,審査請求,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-071937/11/ja
特開2024-071456,特願2024-044321,2024/03/20,2024/05/24,運転制御装置、及び運転制御プログラム,株式会社デンソー,"G08G1/16@D,B60W60/00,B60W50/14",特開2024-071456,,特許7718527,,,特許 有効,登録公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-071456/11/ja
特開2024-071333,特願2023-063765,2023/04/10,2024/05/24,情報処理装置及びプログラム,ソフトバンクグループ株式会社,"B60W40/00,G08G1/00@D",特開2024-071333,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-071333/11/ja
特開2024-071332,特願2023-062335,2023/04/06,2024/05/24,情報処理装置及びプログラム,ソフトバンクグループ株式会社,B60W40/10,特開2024-071332,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-071332/11/ja
特許7712487,特願2024-524446,2022/11/16,2024/05/23,電気自動車のモータ制御システム及び電気自動車,株式会社ＳＵＢＡＲＵ,B60L58/16,WO2024/105801,,特許7712487,,,特許 有効,登録公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7712487/15/ja
特開2024-070766,特願2022-210884,2022/12/27,2024/05/23,車両,ソフトバンクグループ株式会社,"B60L1/00@L,B60W30/09,G06N20/00,B60L7/24@D,B60L15/20@J,B60L50/60",特開2024-070766,,,,,審査中,審査請求,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-070766/11/ja
特開2024-070418,特願2022-180895,2022/11/11,2024/05/23,自動運転総合制御装置,三菱電機株式会社,"B60W50/035,B60W60/00,B60W30/09,G08G1/16@D,G08G1/09@F",特開2024-070418,,,,,審査中,特許査定,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-070418/11/ja
特開2024-070357,特願2022-180789,2022/11/11,2024/05/23,情報処理装置、情報処理方法、およびプログラム,ソニーセミコンダクタソリューションズ株式会社,"H04N5/232,290,H04N9/07@D,H04N23/12,H04N25/11,H04N25/13,H04N25/133,H04N23/60,500",特開2024-070357,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-070357/11/ja
特開2024-069851,特願2022-180100,2022/11/10,2024/05/22,移動体の制御システム、制御プログラム、制御方法,国立大学法人　東京大学,"B60W30/165,B62D6/00",特開2024-069851,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-069851/11/ja
特開2024-069411,特願2024-038275,2024/03/12,2024/05/21,自動運転車輌用システム,有限会社ヴェルク・ジャパン,"G01C21/36,G08G1/16@F",特開2024-069411,,,,,審査中,手続補正,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-069411/11/ja
特開2024-068912,特願2022-179593,2022/11/09,2024/05/21,視線誘導装置,株式会社アドヴィックス,"G09G5/00,550@C,B60W60/00,B60W40/08,B60R11/02@C,G09G5/00,510@A",特開2024-068912,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-068912/11/ja
特開2024-068577,特願2022-179129,2022/11/08,2024/05/20,運行管理装置,トヨタ自動車株式会社,"G01C21/34,G08G1/00@D,G08G1/00@J,B60W60/00,B60W40/06",特開2024-068577,,,,,審査中,拒絶理由通知,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-068577/11/ja
特開2024-068525,特願2022-179050,2022/11/08,2024/05/20,運転支援装置,トヨタ自動車株式会社,G08G1/16@F,特開2024-068525,,特許7683590,,,特許 有効,登録公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-068525/11/ja
特開2024-068496,特願2022-179005,2022/11/08,2024/05/20,車両及び自動運転装置の性能評価方法,トヨタ自動車株式会社,"B60W50/04,G08G1/09@C,G08G1/09@V,G08G1/16@C,B60W60/00,G01M17/007@B",特開2024-068496,,,,,審査中,審査請求,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-068496/11/ja
特開2024-068432,特願2022-178875,2022/11/08,2024/05/20,制御装置および制御方法,株式会社デンソーテン,"B60W50/02,B60R16/03@A,H02J7/34@B",特開2024-068432,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-068432/11/ja
特開2024-068010,特願2022-178490,2022/11/07,2024/05/17,生成プログラムおよび生成方法,富士通株式会社,"G06T11/60,300,G06T17/10,G08G1/00@A,G09B29/00@Z",特開2024-068010,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-068010/11/ja
特開2024-067880,特願2022-178268,2022/11/07,2024/05/17,走行支援システム,トヨタ自動車株式会社,"B60W30/10,G08G1/16@C,B60W30/14,B60W60/00",特開2024-067880,,,,,審査中,審査請求,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-067880/11/ja
特開2024-067531,特願2022-177680,2022/11/04,2024/05/17,ハイブリッド車両の制御装置,トヨタ自動車株式会社,"B60W20/17,B60W10/26,900,B60W20/12,B60K6/445,B60W20/10,B60L15/20@J,B60L50/16,B60L50/60,B60L58/13",特開2024-067531,,,,,審査中,手続補正,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-067531/11/ja
特開2024-067451,特願2022-177538,2022/11/04,2024/05/17,運転支援方法及び運転支援装置,日産自動車株式会社,"B60W50/10,G08G1/00@D,B60W60/00,B60W50/14",特開2024-067451,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-067451/11/ja
特許7485139,特願2023-054753,2023/03/30,2024/05/16,制御装置、遠隔操作装置、遠隔操作システム、および、遠隔操作方法,トヨタ自動車株式会社,"G08G1/09@V,G08G1/00@X",特開2024-142568,,特許7485139,,,特許 有効,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7485139/15/ja
特開2024-067027,特願2023-188717,2023/11/02,2024/05/16,モバイル対話装置、端末機器及びモバイル対話システム,本田技研工業株式会社,"G01C21/34,G16Y10/40,G16Y20/20,G16Y40/60",特開2024-067027,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-067027/11/ja
特開2024-066920,特願2022-176721,2022/11/02,2024/05/16,運行管理装置、システム、プログラム、及び運行管理方法,トヨタ自動車株式会社,"G08G1/09@V,G08G1/123@A,G06Q50/30,G06Q50/40",特開2024-066920,,,,,審査中,審査請求,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-066920/11/ja
特開2024-066893,特願2022-176676,2022/11/02,2024/05/16,情報処理システム、情報処理プログラム、情報処理装置、および情報処理方法,株式会社ナビタイムジャパン,"G06Q50/10,G08G1/00@D,G06Q50/26",特開2024-066893,,,,,審査請求前,公開公報の発行,https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-066893/11/ja
